Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
1.0,Margaret Atwood,Alias Grace,,Anglų,McClelland & Stewart (M&S),1996.0,Istorinis romanas,,468.0,,"Spinta A, 1 lentyna (viršutinė)",Kanados leidimas (M&S logotipas),A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K00001,Skaitoma,Žydrius,,,,,,,,2026-09-18 20:19:00,g@cool.lt,,
2.0,Washington Irving,"The Sketch Book of Geoffrey Crayon, Gent.",,Anglų,,,Esė / apsakymai,,,,"Spinta A, 1 lentyna (viršutinė)",Orig. 1819–1820. Ant nugarėlės žymė „CP 101“,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K00002,Lentynoje,,,,,,,,,,,,
3.0,J. D. Salinger,The Catcher in the Rye,,Anglų,,,Romanas,,,,"Spinta A, 1 lentyna (viršutinė)","Orig. 1951. Kišeninis leidimas, pageltusi nugarėlė",A8. Bitnikai ir kontrkultūra,★ pora: originalas + vertimas,K00003,Lentynoje,,,,,,,,,,,,
4.0,Ralph Waldo Emerson; Henry David Thoreau,"Эссе; Уолден, или Жизнь в лесу","Essays; Walden, or Life in the Woods",Rusų,Художественная литература,,Esė / filosofija,,,,"Spinta A, 1 lentyna (viršutinė)",Rusų k. rinktinė „Ралф Эмерсон. Эссе. Генри Торо. Уолден“ (~1986). Metus patikslinti,A3. Klasikos kanonas (pagal šalis),Rusų klasika vertimuose,K00004,Lentynoje,,,,,,,1986.0,,2026-09-18 16:22:00,g@cool.lt,,
5.0,,,,Rusų,,,,,,,"Spinta A, 1 lentyna (viršutinė)","PATIKSLINTI: plona geltona nugarėlė, tekstas neįskaitomas (rusų k., galimai fantastika). Reikia nuotraukos iš arčiau",A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K00005,Lentynoje,,,,,,,,,,,,
6.0,John Gordon,Milžinas po sniegu,The Giant Under the Snow,Lietuvių,Alma littera,2007.0,Vaikų / paauglių fantastika,,,,"Spinta A, 1 lentyna (viršutinė)",,C16. Vaikų literatūra ir pasakos,Vaikų knygos ir lavinimas,K00006,Lentynoje,,,,,,,,,,,,
7.0,James Herriot,All Things Wise and Wonderful,,Anglų,Bantam Books,,Memuarai / negrožinė (veterinaro atsiminimai),All Creatures Great and Small,,0-553-11746-7,"Spinta A, 1 lentyna (viršutinė)",Orig. 1977; šis Bantam leidimas ~1978. Kaina ant nugarėlės $2.75,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K00007,Lentynoje,,,,,,,,,2026-09-14 13:11:00,g@cool.lt,,
8.0,Tommaso Campanella,La Città del Sole (Saulės miestas),La Città del Sole,Italų,Fabbri Editori,,Filosofija / utopija,,,,"Spinta A, 1 lentyna (viršutinė)",Orig. 1602 (išsp. 1623),B10. Distopijos ir utopijos,,K00008,Lentynoje,,,,,,,,,,,,
9.0,Herbert Marcuse,Der eindimensionale Mensch,One-Dimensional Man,Vokiečių,,,Filosofija / sociologija,,,,"Spinta A, 1 lentyna (viršutinė)",Orig. 1964. Ant nugarėlės žymė „SL 4“,B11. SF aukso amžius,,K00009,Lentynoje,,,,,,,,,,,,
10.0,,,,,,,,,,,"Spinta A, 1 lentyna (viršutinė)","PATIKSLINTI: smėlio spalvos, stipriai apiplyšusi nugarėlė — neįskaitoma. Reikia nuotraukos iš arčiau","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K00010,Lentynoje,,,,,,,,,,,,
