Laikas,Vartotojas,Veiksmas,Objektas,Detalės
2026-09-13 10:20:51.078000,g@cool.lt,Redaguota,K01209,"{""Statusas"":""Nerasta""}"
2026-09-13 10:20:51.287000,g@cool.lt,Inventorizacija,K01209,Nerasta
2026-09-13 11:20:18.578000,g@cool.lt,Redaguota,K01212,"{""Statusas"":""Nerasta""}"
2026-09-13 11:20:18.693000,g@cool.lt,Redaguota,K01212,"{""Statusas"":""Nerasta""}"
2026-09-13 11:20:19.145000,g@cool.lt,Inventorizacija,K01212,Nerasta
2026-09-13 11:20:19.168000,g@cool.lt,Inventorizacija,K01212,Nerasta
2026-09-14 03:11:04.479000,g@cool.lt,Redaguota,K00007,"{""Pastabos"":""Orig. 1977; šis Bantam leidimas ~1978. Kaina ant nugarėlės $2.75"",""Metai"":"""",""Pavadinimas"":""All Things Wise and Wonderful"",""ISBN"":""0-553-11746-7"",""Įsigijimo šaltinis"":"""",""Puslapiai"":"""",""Lentynos vieta"":""Spinta A, 1 lentyna (viršutinė)"",""Kaina (EUR)"":"""",""Būklė"":"""",""Įsigijimo data"":"""",""Leidykla"":""Bantam Books"",""Originalo metai"":"""",""Autorius"":""James Herriot"",""Tiražas"":""""}"
2026-09-16 03:03:10.244000,g@cool.lt,Importas iš CSV,Fabula_import.csv,504 knygos
2026-09-16 03:13:40.516000,g@cool.lt,Importas iš CSV,Fabula_import_2.csv,43 knygos
2026-09-16 07:00:41.317000,g@cool.lt,Importas iš CSV,Paupio_import_1.csv,260 knygos
2026-09-16 07:01:48.744000,g@cool.lt,Importas iš CSV,Paupio_import_2.csv,260 knygos
2026-09-16 07:02:13.036000,g@cool.lt,Importas iš CSV,Paupio_import_3.csv,260 knygos
2026-09-16 07:02:47.509000,g@cool.lt,Importas iš CSV,Paupio_import_4.csv,258 knygos
2026-09-18 02:38:32.339000,g@cool.lt,Redaguota,K01571,"{""Statusas"":""Skaitoma"",""Dabartinis laikytojas"":""zydrunas""}"
2026-09-18 02:38:33.130000,g@cool.lt,Judėjimas: Paėmiau skaityti,K01571,zydrunas 
2026-09-18 02:42:11.672000,g@cool.lt,Redaguota,K01571,"{""Įsigijimo šaltinis"":"""",""Puslapiai"":"""",""Tiražas"":"""",""Kaina (EUR)"":""30"",""Metai"":""2009"",""Autorius"":""Francis Mallmann"",""Lentynos vieta"":""Virtuvės spinta, 2 lentyna (kulinarija)"",""Lentyna"":""2"",""Leidykla"":""Artisan"",""Būklė"":"""",""ISBN"":""9781579653545"",""Pavadinimas"":""Seven Fires: Grilling the Argentine Way"",""Pastabos"":""Artisan"",""Patalpa"":""Paupio virtuvė"",""Originalo metai"":"""",""Įsigijimo data"":""2011-04-13""}"
