Patalpa,Lentyna,Lentynos nuotrauka,Viršelių nuotraukų,Perskaityta knygų,Sulieta su senais,Naujų,Neįskaitomų,Pastabos
Žagarinė miegamasis,1,Zagarine Miegamasis 1.JPG,0,0,0,0,0,"lentynos numeris „1“ pieštuku užrašytas ant lentos krašto po viduriniąja eile — tai ir yra tikslinė eilė · 1-oje lentynoje knygų nėra: stovi juodo arklio figūrėlė, vielinė krepšelio formos dėžutė, gipsinė detalė, varpelis, dvi įrėmintos nuotraukos, raižytas metalinis papuošalų dėžutės formos daiktas, medinė dėžutė su gėlių paveikslėliu ir stiklinis suvenyras · virš 1-os lentynos esančioje eilėje sudėti Esselte segtuvai su dokumentais (ŽG deklaravimas, sutartys 1998–2004, Žagarinės archyvas ir pan.) — tai ne knygos ir jos priklauso kitai lentynai"
Žagarinė miegamasis,2,Zagarine miegamasis 2.JPG,0,0,0,0,0,"Lentynoje virš pieštuku užrašyto numerio „2“ knygų nėra: joje stovi įrėmintos nuotraukos (didelis baltas rėmas, vielinis rėmelis, trys tamsūs rėmeliai) ir dekoratyvinė mėlyna dėžutė / lėkštė · Žemiau esančioje lentynoje (numeris 3) matyti knygų („Matai – darai“ ir kt.), bet jos nepriklauso šiai lentynai ir čia nerašomos"
Žagarinė miegamasis,3,Zagarine miegamasis 3.JPG,0,5,2,2,1,"lentynos numeris „3“ pieštuku užrašytas ant lentos krašto po eile su pilka veltinio dėže ir knygomis dešinėje — transkribuota ši eilė (virš jos esanti lenta pažymėta „2“) · pos 1: knyga už rėmelių lieka neatpažinta · didžiąją 3-osios lentynos dalį užima ne knygos: pilka veltinio dėžė su juoda kepure, rausva audinio dėžutė, medinė raižyta dėžutė ir du mediniai nuotraukų rėmeliai · dešinėje, už vertikalios pertvaros, yra atskira sekcija su dėžutėmis (MAGNET…) ir akmens plokšte — knygų joje nėra"
Žagarinė miegamasis,4,Zagarine miegamasis 4.JPG,0,0,0,0,0,"Lentynos numeris 4 aiškiai užrašytas pieštuku ant lentos krašto; virš jo esančioje nišoje knygų nėra — tik dovanų popieriaus rulonas, dvi raudonos audeklinės dėžutės, batų dėžė ir tamsiai mėlynas archyvinis aplankas (dėžė). · Dešinėje, už vertikalios pertvaros, matyti kita niša su knygomis (tarp jų Philip Pullman „Jo tamsiosios jėgos“), tačiau ji nepriklauso 4-ai lentynai. · Viršutinė niša virš užrašo „3“ (Randall Munroe „What if?“, „Matai — darai“ ir kt.) taip pat neįrašyta — tai 3-ia lentyna."
Žagarinė miegamasis,5,Zagarine miegamasis 5.JPG,0,6,0,0,6,"visa lentyna: knygos sudėtos plokščiai į krūvą, matyti tik lapų briaunos ir viršelių kraštai — nė vieno pavadinimo perskaityti neįmanoma · pos 1–2: gali būti vienas odinis albumas su dviem dalimis, o ne du atskiri daiktai · kairėje kadro pusėje stovintis leidinys su katėmis („...vės“) stovi ant kitos, žemesnės lentos, ne ant lentos, pažymėtos 5, todėl neįrašytas"
Žagarinė miegamasis,6,Zagarine miegamasis 6.JPG,0,2,0,2,0,"lentynoje 6 knygų beveik nėra: didžiąją dalį užima įrėmintas Ūkininko ūkio įregistravimo pažymėjimas, pilka veltinio dėžė, plastiko plėvele įvynioti ELBA segtuvai su dokumentais, popieriaus ritinys ir pieštukai — tai ne knygos ir į sąrašą neįtraukta · pos 2: neaišku, ar „Patagonia“ yra knyga, ar dekoratyvinė skardinė lentelė · dėžės viduje gali būti daugiau leidinių, matoma tik priekinio (raudono) viršelio dalis"
Žagarinė miegamasis,7,Zagarine miegamasis 7.JPG,0,32,11,13,8,"Kairiajame lentynos gale stovi juodas dokumentų dėklas su palaidais lapais ir aplankais — tai ne knygos, todėl neįtraukta; pos 1 yra už jo pasviręs leidinys · pos 5, 7, 8, 11, 19, 20, 23: nugarėlės neįskaitomos (per smulkus šriftas, šešėlis arba visai be teksto) · pos 6: manga su etikete „Toriyama Akira“ — pavadinimo nugarėlėje nėra · pos 27: dešiniajame lentynos gale knyga stipriai šešėlyje, pavadinimas atkurtas tik iš dviejų įskaitomų žodžių · pos 29–32: keturios knygos guli horizontaliai antroje eilėje virš stovinčių; jų vieta eilėje sąlyginė"
Žagarinė miegamasis,8,Zagarine miegamasis 8.JPG,0,15,5,4,6,"Lentynoje 8 kairėje stovi pilka veltinio dėžė su HP rašalo kasetėmis, dešinėje — juoda dėžutė ir pilki dokumentų aplankai; jie neįrašyti kaip knygos · pos 4, 6, 7, 8, 12, 15: nugarėlės uždengtos arba be įskaitomo pavadinimo · Už priekinių knygų gali būti dar kelios visiškai uždengtos knygos"
Žagarinė miegamasis,9,Zagarine miegamasis 9.JPG,0,3,1,1,1,"lentynos numeris „9“ pieštuku užrašytas ant lentos krašto po viduriniąja eile — transkribuota ši eilė (virš jos esanti lenta pažymėta „8“) · pos 1: tomo pavadinimas auksinėmis raidėmis ant viršelio neįskaitomas · pos 2–3: nuotrauka šioje vietoje neryški, tekstas beveik neįskaitomas · likusi 9-os lentynos dalis — ne knygos: juodas stovas, dvi raudonos archyvinės dėžės, juodas dokumentų stovas su segtuvais ir popieriais, juodas planšetės formos daiktas"
Žagarinė miegamasis,10,Zagarine miegamasis 10.JPG,0,0,0,0,0,"Lentynos numeris 10 aiškiai užrašytas pieštuku ant lentos krašto; virš jo esančioje nišoje knygų nėra — tik rašiklių indas, juodas dokumentų dėklas ir stalo žaidimo „Carcassonne“ dėžė. · Viršutinė niša virš užrašo „9“ (Philip Pullman „Jo tamsiosios jėgos“, „Pastrum“(?) ir japoniška knyga) neįrašyta — tai 9-a lentyna."
