Patalpa,Lentyna,Pozicija,Autorius,Pavadinimas,Kalba,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
Žagarinė miegamasis,3,1,,,,0.3,spine,,"neįskaitoma: spalvota (mėlyna–oranžinė) knyga, pastatyta už dviejų medinių nuotraukų rėmelių; nei nugarėlės, nei pavadinimo nesimato"
Žagarinė miegamasis,3,3,,Matai – darai,LT,0.8,spine,,"antras tos pačios knygos egzempliorius, padėtas gulsčiai ant stovinčių knygų; matosi viršelis su užrašu „MATAI – DARAI“"
Žagarinė miegamasis,3,4,Randall Munroe,What If?,EN,0.9,spine,,artimiausias K00561 (0.4) 
Žagarinė miegamasis,5,1,,,,0.3,spine,,"neįskaitoma: krūvos apačia: juodas odinis albumas (nuotraukų albumas ar aplankas), teksto nematyti"
Žagarinė miegamasis,5,2,,,,0.3,spine,,"neįskaitoma: rusvai violetinis odinis aplankas krūvos kairėje, kyšo iš po juodo albumo; teksto nematyti"
Žagarinė miegamasis,5,3,,,,0.3,spine,,"neįskaitoma: tamsiai rudas didelio formato leidinys su nuotrauka viršelyje; guli plokščiai, matyti tik lapų briauna"
Žagarinė miegamasis,5,4,,,,0.3,spine,,neįskaitoma: storas kreminis (baltas) didelio formato leidinys; teksto nematyti
Žagarinė miegamasis,5,5,,,,0.3,spine,,neįskaitoma: pilkas (tamsus) albumo tipo leidinys su šviesiu užrašu viršelio krašte; tekstas per neryškus perskaityti
Žagarinė miegamasis,5,6,,,,0.3,spine,,neįskaitoma: krūvos viršuje: raudonas kietais viršeliais didelio formato leidinys su paveikslu; nugarėlė nematoma
Žagarinė miegamasis,6,1,,Musei Vaticani,IT,0.6,spine,,raudonas albumas pilkoje veltinio dėžėje; ant viršelio užrašas „MVSEI VATICANI“
Žagarinė miegamasis,6,2,,Patagonia,,0.3,spine,,"didelio formato leidinys arba dekoratyvinė skardinė lentelė su užrašu „PATAGON…“ ir kalnų vaizdu; stovi atremtas į galinę sienelę, pavadinimo galas užstotas dėžės"
Žagarinė miegamasis,7,1,,,,0.3,spine,,"neįskaitoma: tamsus didelio formato leidinys su fotografijos viršeliu, pasviręs prie juodo dokumentų dėklo; nugarėlės nematyti"
Žagarinė miegamasis,7,2,Robert Irwin,The Alhambra,EN,0.8,spine,,artimiausias K00092 (0.5) autoriaus pavardė nugarėlės apačioje smulki
Žagarinė miegamasis,7,3,Isaac Asimov,"I, Robot",EN,0.9,spine,,juoda nugarėlė su žaliu šriftu
Žagarinė miegamasis,7,4,,The Dark Powers of Tolkien,EN,0.7,spine,,artimiausias K00815 (0.57) pilka nugarėlė; autoriaus pavardė neįskaitoma
Žagarinė miegamasis,7,5,,,,0.3,spine,,neįskaitoma: plona balta nugarėlė su mėlynu skaičiumi „12“ ir mėlynu pavadinimu; tekstas per smulkus perskaityti
Žagarinė miegamasis,7,7,,,,0.3,spine,,neįskaitoma: tamsiai mėlyna nugarėlė be įskaitomo teksto
