Patalpa,Lentyna,Pozicija,Pastaba
Žagarinė miegamasis,3,1,"neįskaitoma: spalvota (mėlyna–oranžinė) knyga, pastatyta už dviejų medinių nuotraukų rėmelių; nei nugarėlės, nei pavadinimo nesimato"
Žagarinė miegamasis,5,1,"neįskaitoma: krūvos apačia: juodas odinis albumas (nuotraukų albumas ar aplankas), teksto nematyti"
Žagarinė miegamasis,5,2,"neįskaitoma: rusvai violetinis odinis aplankas krūvos kairėje, kyšo iš po juodo albumo; teksto nematyti"
Žagarinė miegamasis,5,3,"neįskaitoma: tamsiai rudas didelio formato leidinys su nuotrauka viršelyje; guli plokščiai, matyti tik lapų briauna"
Žagarinė miegamasis,5,4,neįskaitoma: storas kreminis (baltas) didelio formato leidinys; teksto nematyti
Žagarinė miegamasis,5,5,neįskaitoma: pilkas (tamsus) albumo tipo leidinys su šviesiu užrašu viršelio krašte; tekstas per neryškus perskaityti
Žagarinė miegamasis,5,6,neįskaitoma: krūvos viršuje: raudonas kietais viršeliais didelio formato leidinys su paveikslu; nugarėlė nematoma
Žagarinė miegamasis,7,1,"neįskaitoma: tamsus didelio formato leidinys su fotografijos viršeliu, pasviręs prie juodo dokumentų dėklo; nugarėlės nematyti"
Žagarinė miegamasis,7,5,neįskaitoma: plona balta nugarėlė su mėlynu skaičiumi „12“ ir mėlynu pavadinimu; tekstas per smulkus perskaityti
Žagarinė miegamasis,7,7,neįskaitoma: tamsiai mėlyna nugarėlė be įskaitomo teksto
Žagarinė miegamasis,7,8,neįskaitoma: tamsiai ruda knyga su piešta žaluma ir parašu ant nugarėlės; teksto neįmanoma perskaityti
Žagarinė miegamasis,7,11,"neįskaitoma: plonas baltas didelio formato leidinys, pastatytas įstrižai; nugarėlės tekstas per smulkus"
Žagarinė miegamasis,7,19,neįskaitoma: alyvuogių spalvos nugarėlė; įskaitoma tik pavadinimo pabaiga „…acy“
Žagarinė miegamasis,7,20,neįskaitoma: blyškiai kreminė nugarėlė be įskaitomo teksto
Žagarinė miegamasis,7,23,neįskaitoma: tamsiai raudona nugarėlė su balta bibliotekine etikete apačioje; tekstas neįskaitomas
Žagarinė miegamasis,8,4,"neįskaitoma: tamsiai mėlyna nugarėlė, matosi tik „OXFORD“; knyga uždengta"
Žagarinė miegamasis,8,6,"neįskaitoma: šviesiai mėlyna knyga plėvelėje, teksto neįskaitoma"
Žagarinė miegamasis,8,7,"neįskaitoma: geltona nugarėlė, matosi tik leidykla „baltos lankos“"
Žagarinė miegamasis,8,8,"neįskaitoma: šviesiai žalia nugarėlė, pavadinimas uždengtas"
Žagarinė miegamasis,8,12,"neįskaitoma: raudona ir balta nugarėlė; matosi leidyklos ženklas „LEKTŪRA“ ir žodis „Press“, pavadinimas neaiškus"
Žagarinė miegamasis,8,15,"neįskaitoma: tamsiai mėlyna nugarėlė, matosi „… e le due lune“ (italų k.)"
Žagarinė miegamasis,9,2,"neįskaitoma: juoda knyga tarp Pullmano ir japoniškos knygos; nugarėlė uždengta, teksto nesimato"
Žagarinė priepirtis,1,2,"neįskaitoma: tamsi nugarėlė su auksiniais ir žalsvais ornamentais, beveik visiškai užstota pos 1 knygos"
Žagarinė priepirtis,1,10,"neįskaitoma: juoda knyga, įstumta giliau tarp pos 9 ir pos 11; nugarėlė be matomo teksto"
Žagarinė priepirtis,2,11,"neįskaitoma: tamsiai violetinė knyga, atsukta nugara į priekį — matyti tik anotacija geltonu šriftu, pavadinimo nematyti"
Žagarinė priepirtis,5,12,"neįskaitoma: plona žalia nugarėlė, matosi tik „OXFORD“ ir numeris 6 (tikėtina Oxford Bookworms)"
Žagarinė priepirtis,6,1,"neįskaitoma: didelio formato tamsiai mėlynas leidinys (albumas arba aplankas) kairiajame lentynos gale; ant viršelio įžvelgiami tik atskiri simboliai, teksto perskaityti neįmanoma"
Žagarinė priepirtis,6,2,"neįskaitoma: apie 6 žurnalai kairėje: geltonos, baltos, tamsios ir mėlynos nugarėlės; nuotrauka neryški, užrašai neįskaitomi"
Žagarinė priepirtis,6,5,neįskaitoma: juoda knyga su nakties miesto nuotrauka ir balta juosta apačioje; matoma tik pavadinimo pabaiga „…OPAS“
Žagarinė priepirtis,6,6,neįskaitoma: apie 5 tamsios ir oranžinės nugarėlės tarp National Geographic numerių; užrašai neįskaitomi
Žagarinė priepirtis,7,11,"neįskaitoma: raudonas spiraliniu rišimu įrištas didelio formato leidinys (sąsiuvinis ar albumas), pasviręs prie dešinės sienelės; užrašas neįskaitomas"
Žagarinė priepirtis,8,1,neįskaitoma: plona raudona nugarėlė su balta apskrita emblema apačioje; tekstas neįskaitomas (nuotrauka neryški)
Žagarinė priepirtis,8,2,neįskaitoma: plona šviesiai mėlyna nugarėlė; tekstas neįskaitomas
Žagarinė priepirtis,8,3,neįskaitoma: žema oranžinė-geltona knyga priekinėje eilėje; tekstas neįskaitomas
Žagarinė priepirtis,8,4,neįskaitoma: antra žema oranžinė-geltona knyga šalia; tekstas neįskaitomas
Žagarinė priepirtis,8,5,neįskaitoma: tamsi (juoda–žalsva) nugarėlė su gelsva apskrita emblema viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,6,neįskaitoma: tamsiai mėlyna nugarėlė su balta juosta per vidurį; tekstas neįskaitomas
Žagarinė priepirtis,8,7,neįskaitoma: plona kreminė nugarėlė su tamsiu tekstu; neįskaitoma
Žagarinė priepirtis,8,8,neįskaitoma: aukšta šviesiai žalia nugarėlė su spalvotu apskritimu viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,9,neįskaitoma: kreminė nugarėlė su apskrita emblema viršuje; tekstas neįskaitomas
Žagarinė priepirtis,8,10,neįskaitoma: mėlyna nugarėlė su džinsinio audinio raštu; tekstas neįskaitomas
Žagarinė priepirtis,8,11,neįskaitoma: tamsi nugarėlė su raudonu akcentu; tekstas neįskaitomas
Žagarinė priepirtis,8,14,neįskaitoma: tamsiai raudona knyga gilumoje už priekinės eilės; matosi tik kraštas
Žagarinė priepirtis,11,2,neįskaitoma: šviesi knyga su oranžine/rusva juosta ir baltu tekstu — neįskaitoma (nuotrauka neryški)
Žagarinė priepirtis,11,4,neįskaitoma: tamsiai mėlyna nugarėlė su raudonu piešiniu — teksto neįskaitoma
Žagarinė priepirtis,11,5,"neįskaitoma: pilkai balta plona knygelė, be įskaitomo teksto"
Žagarinė priepirtis,11,6,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,7,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,8,"neįskaitoma: žalsva plona knyga/žurnalas, pakrypusi, teksto neįskaitoma"
Žagarinė priepirtis,11,9,"neįskaitoma: tamsiai žalia plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,10,"neįskaitoma: tamsi plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,11,"neįskaitoma: tamsi plona knyga/žurnalas, teksto neįskaitoma"
Žagarinė priepirtis,11,13,"neįskaitoma: plona juoda nugarėlė su taškų eile, be įskaitomo teksto"
Žagarinė priepirtis,11,14,"neįskaitoma: plona balta knygelė, be įskaitomo teksto"
Žagarinė priepirtis,11,15,"neįskaitoma: antra plona balta knygelė, be įskaitomo teksto"
Žagarinė priepirtis,13,10,"neįskaitoma: plona iliustruota knyga, įstumta už kitų; matyti tik dalis galinio viršelio su gamtos nuotraukomis, pavadinimo neįskaityti"
Žagarinė priepirtis,14,2,"neįskaitoma: didelio formato leidinys, gulintis ant „Fleitos pradžiamokslio“; matyti tik žalsvai mėlyna iliustracija, teksto nėra"
Žagarinė priepirtis,14,3,"neįskaitoma: kreminė (gelsva) knyga su pieštu viršeliu, guli viršuje; pavadinimo nematyti"
Žagarinė priepirtis,14,4,"neįskaitoma: didelio formato spalvota (žalia–geltona–raudona) knyga, atsukta galiniu viršeliu; matyti tik brūkšninis kodas"
Žagarinė priepirtis,16,1,"neįskaitoma: smėlio spalvos suplyšusi knyga kairiajame krašte, pasvirusi prie spintos šono; nugarėlė be matomo teksto"
Žagarinė priepirtis,16,9,neįskaitoma: lygi smėlinė nugarėlė be teksto
Žagarinė priepirtis,16,13,"neįskaitoma: spalvotai iliustruota knyga, pasvirusi tarp kitų; ant nugarėlės teksto nėra"
Žagarinė priepirtis,16,20,"neįskaitoma: labai susidėvėjusi rusva drobinė knyga, nugarėlė be teksto"
Žagarinė priepirtis,17,2,"neįskaitoma: plona pilkšvai balta knygelė, pakrypusi į priekį, teksto nematyti"
Žagarinė priepirtis,17,3,"neįskaitoma: užpakalinė eilė: kreminis viršelis su juodu grafišku piešiniu (šakos), teksto nematyti"
Žagarinė priepirtis,17,8,"neįskaitoma: pilkšvai žalsva nugarėlė su labai smulkiu tekstu viršuje, neįskaitoma"
Žagarinė priepirtis,17,11,"neįskaitoma: užpakalinė eilė: žalia kietais viršeliais knyga, teksto nematyti"
Žagarinė priepirtis,17,18,"neįskaitoma: labai plona, suplyšusi šviesi knygelė su mėlynu ženklu viršuje, teksto neįskaityti"
Žagarinė priepirtis,17,24,"neįskaitoma: juoda nugarėlė su įspaustomis raidėmis, įskaitoma tik apytikriai „DEIVĖ LAIMĖS LEM…“"
Žagarinė priepirtis,17,25,neįskaitoma: žalias drobinis viršelis be matomo teksto nugarėlėje
Žagarinė priepirtis,18,1,neįskaitoma: mėlyna nugarėlė su užrašu „Walt Disney“; pavadinimo ant nugarėlės nėra
Žagarinė priepirtis,18,5,neįskaitoma: raudona knyga su rašytiniu užrašu ant viršelio; nugarėlė uždengta priekinėmis knygomis
Žagarinė priepirtis,18,6,neįskaitoma: gelsvai ruda iliustruota vaikiška knyga; nugarėlės teksto nematyti
Žagarinė priepirtis,18,17,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,18,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,19,neįskaitoma: plonas pilkas leidinys / sąsiuvinis be užrašų
Žagarinė priepirtis,18,24,neįskaitoma: plona geltona nugarėlė be teksto
Žagarinė priepirtis,18,25,neįskaitoma: plona tamsiai pilka nugarėlė be teksto
