Senas ID,Autorius,Pavadinimas,Sena vieta,Statusas
K00004,Ralph Waldo Emerson; Henry David Thoreau,"Эссе; Уолден, или Жизнь в лесу","Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00015,Hutten; Müntzer; Luther,"Hutten, Müntzer, Luther (2 tomas)","Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00017,Max Frisch,Rinktinė (romanai),"Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00021,Stefan Zweig,"Trys meistrai: Balzakas, Dikensas, Dostojevskis","Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00022,Johann Wolfgang von Goethe,Rinktinė,"Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00025,Gotthold Ephraim Lessing,Rinktinė (dramos),"Spinta A, 1 lentyna (viršutinė)",Lentynoje
K00031,Ray Bradbury,Rinktinė,"Spinta A, 2 lentyna",Lentynoje
K00032,Thomas Wolfe,Rinktinė,"Spinta A, 2 lentyna",Lentynoje
K00036,Herman Melville,Собрание сочинений (1 tomas),"Spinta A, 2 lentyna",Lentynoje
K00037,Herman Melville,Собрание сочинений (2 tomas),"Spinta A, 2 lentyna",Lentynoje
K00038,Herman Melville,Собрание сочинений (3 tomas),"Spinta A, 2 lentyna",Lentynoje
K00039,Frank Herbert,Kūrinys (galimai „Дюна“),"Spinta A, 2 lentyna",Lentynoje
K00041,Washington Irving,Rinktinė,"Spinta A, 2 lentyna",Lentynoje
K00042,Sud. K. Andersonas (?),Очеркисты в Британии,"Spinta A, 2 lentyna",Lentynoje
K00050,William Makepeace Thackeray (V. M. Tekerėjus),Tuštybės mugė (2 tomas),"Spinta A, 2 lentyna",Lentynoje
K00051,Arthur Schopenhauer,Rinktinė,"Spinta A, 2 lentyna",Lentynoje
K00054,William Shakespeare (Viljamas Šekspyras),Dramos. Sonetai (2 tomas),"Spinta A, 2 lentyna",Lentynoje
K00074,Honoré de Balzac (Бальзак),Rinktinė,"Spinta A, 3 lentyna",Lentynoje
K00099,,Старинные японские повести,"Spinta A, 4 lentyna",Lentynoje
K00101,Gustave Flaubert (Флобер),Rinktinė,"Spinta A, 4 lentyna",Lentynoje
K00106,George Meredith (Džordžas Mereditas),Rinktinė,"Spinta A, 4 lentyna",Lentynoje
K00109,Jean-Jacques Rousseau (Ž. Ruso),Rinktinė,"Spinta A, 4 lentyna",Lentynoje
K00115,August Strindberg (А. Стриндберг),Rinktinė,"Spinta A, 4 lentyna",Lentynoje
K00123,,Воспоминание чувств,"Spinta A, 4 lentyna",Lentynoje
K00127,Per Olov Enquist,Rinktinė,"Spinta A, 5 lentyna",Lentynoje
K00129,Luigi Pirandello,Rinktinė,"Spinta A, 5 lentyna",Lentynoje
K00131,Jean-Louis Curtis (Žanas Luji Kiurtisas),Rinktinė,"Spinta A, 5 lentyna",Lentynoje
K00140,,Topsy-Turvy World,"Spinta A, 5 lentyna",Lentynoje
K00150,Walther von der Vogelweide,Lieder und Gedichte,"Spinta A, 6 lentyna",Lentynoje
K00155,Rabindranath Tagore (Rabindranatas Tagorė),Atsisveikinimas,"Spinta A, 5 lentyna",Lentynoje
K00164,Nikolaus Lenau,Gedichte (rinktinė),"Spinta A, 7 lentyna",Lentynoje
K00166,Friedrich Gottlieb Klopstock,Rinktinė,"Spinta A, 7 lentyna",Lentynoje
K00180,,I Ging (Yijing / Permainų knyga),"Spinta A, 8 lentyna (apatinė)",Lentynoje
K00185,Johann Gottfried Herder,Werke (1 tomas),"Spinta A, 8 lentyna (apatinė)",Lentynoje
K00189,Wilhelm Hauff,Werke (1 tomas),"Spinta A, 8 lentyna (apatinė)",Lentynoje
K00190,Wilhelm Hauff,Werke (2 tomas),"Spinta A, 8 lentyna (apatinė)",Lentynoje
K00194,Daniel Defoe,Moll Flanders,"Spinta A, 8 lentyna (apatinė)",Lentynoje
K00201,Levas Tolstojus (Л. Н. Толстой),Rinktinė,"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00206,Aleksandras Blokas (Александр Блок),Rinktinė,"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00207,Sergejus Jeseninas (Сергей Есенин),Сочинения (1 tomas),"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00211,Borisas Pasternakas,Rinktinė,"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00214,Josifas Brodskis (Иосиф Бродский),Rinktinė,"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00221,Fiodoras Dostojevskis (Ф. М. Достоевский),Собрание сочинений (6 tomas),"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00222,Fiodoras Dostojevskis (Ф. М. Достоевский),Собрание сочинений (7 tomas),"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00223,Aleksandras Puškinas (А. С. Пушкин),Сочинения (2 tomas),"Spinta B, 1 lentyna (viršutinė)",Lentynoje
K00226,Dante Alighieri,Rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00227,Euripidas,"Tragedijos (Trojietės, Hekabė, Andromachė)","Spinta B, 2 lentyna",Lentynoje
K00234,Epiktetas,Rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00235,Lukianas (Lucianas),Rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00236,Ksenofontas,Rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00240,François Fénelon (Франсуа Фенелон),Приключения Телемака,"Spinta B, 2 lentyna",Lentynoje
K00243,Anatolijus Varšavskis,Rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00244,Platonas (Платон),Dialogai / rinktinė,"Spinta B, 2 lentyna",Lentynoje
K00252,L. N. Velikovičius (Л. Н. Великович),Rinktinė,"Spinta B, 3 lentyna",Lentynoje
K00259,,Буржуазный век,"Spinta B, 3 lentyna",Lentynoje
K00262,Titas Livijus (Тит Ливий),История Рима (I tomas),"Spinta B, 3 lentyna",Lentynoje
K00263,Titas Livijus (Тит Ливий),История Рима (II tomas),"Spinta B, 3 lentyna",Lentynoje
K00265,Sergejus Bulgakovas (С. Н. Булгаков),Rinktinė,"Spinta B, 3 lentyna",Lentynoje
K00273,,古诗一百首 (100 senovės eilėraščių),"Spinta B, 3 lentyna",Lentynoje
K00279,,Die Bhagavadgita,"Spinta B, 4 lentyna",Lentynoje
K00280,A. C. Bhaktivedanta Swami Prabhupada,(rinktinė),"Spinta B, 4 lentyna",Lentynoje
K00287,Egdūnas Račius,Islamo studijos,"Spinta B, 4 lentyna",Lentynoje
K00301,Isabel Allende,(dar vienas tomas),"Spinta B, 5 lentyna",Lentynoje
K00318,Sergejus Rubinšteinas (С. Л. Рубинштейн),Rinktinė (II tomas),"Spinta B, 5 lentyna",Lentynoje
K00328,,Žemaitijos parapijų monografija,"Spinta B, 6 lentyna (apatinė)",Lentynoje
K00333,Jonas Jablonskis,Raštai (2 tomas),"Spinta B, 6 lentyna (apatinė)",Lentynoje
K00337,Konstantinas Balmontas (Константин Бальмонт),Rinktinė,"Spinta B, 6 lentyna (apatinė)",Lentynoje
K00339,Viktoras Alekna,Rinktinė / monografija,"Spinta B, 6 lentyna (apatinė)",Lentynoje
K00340,,Suvalkija: etnokultūros paveldas,"Spinta B, 6 lentyna (apatinė)",Lentynoje
K00358,Piotr Zychowicz,Pilsudskio–Lenino (?),"Spinta C, 1 lentyna",Lentynoje
K00361,Carl Gustaf Mannerheim (Карл Густав Маннергейм),Мемуары,"Spinta C, 1 lentyna",Lentynoje
K00362,,Россия. Проект,"Spinta C, 1 lentyna",Lentynoje
K00399,Orhan Pamuk,Istanbul,"Spinta C, 2 lentyna",Lentynoje
K00402,Platonas,Dialogai / rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00403,Marcelijus Martinaitis,Maksvelis,"Spinta C, 3 lentyna",Lentynoje
K00404,Stephen Little,…izmai: kaip suprasti meną,"Spinta C, 3 lentyna",Lentynoje
K00405,Ričardas Kazlauskas,Rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00414,Immanuel Kant (I. Kantas),Rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00415,José Ortega y Gasset (Ch. Ortega i Gasetas),Rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00416,Erich Fromm (E. Fromas),Rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00417,Karl Jaspers (K. Jaspersas),Rinktinė,"Spinta C, 3 lentyna",Lentynoje
K00442,Ignas Staškevičius,Lietuvos verslo legendos,"Spinta C, 4 lentyna",Lentynoje
K00447,Sofija Tyzenhauzaitė,Rinktinė / atsiminimai,"Spinta C, 4 lentyna",Lentynoje
K00448,,Senovės istorikai (?),"Spinta C, 4 lentyna",Lentynoje
K00468,Akira Toriyama,Drakonų kovos (Dragon Ball) — serija,"Spinta C, 7 lentyna (apatinė)",Lentynoje
K00474,Eliyahu M. Goldratt,Tikslas,"Spinta C, 7 lentyna (apatinė)",Lentynoje
K00481,Mark McNeilly,Rinktinė,"Spinta C, 7 lentyna (apatinė)",Lentynoje
K00487,Pilypas Ruigys (P. Ruigys),Rinktinė,"Spinta D, 1 lentyna (viršutinė)",Lentynoje
K00490,Mykolas Lietuvis,"Apie totorių, lietuvių ir maskvėnų papročius","Spinta D, 1 lentyna (viršutinė)",Lentynoje
K00492,Marcelinas Ročka,Rinktinė,"Spinta D, 1 lentyna (viršutinė)",Lentynoje
K00499,Viktorija Daujotytė,Žmogus ir jo kalnas,"Spinta D, 1 lentyna (viršutinė)",Lentynoje
K00503,,Pasteris,"Spinta D, 1 lentyna (viršutinė)",Lentynoje
K00518,Mykolas Römeris,Teisinės minties palikimas,"Spinta D, 2 lentyna",Lentynoje
K00526,Jonas Öhman,Donbasas (?),"Spinta D, 2 lentyna",Lentynoje
K00528,Motiejus Čepas,Rinktinė / atsiminimai,"Spinta D, 2 lentyna",Lentynoje
K00536,Petras Dusburgietis,Prūsijos žemės kronika,"Spinta D, 3 lentyna",Lentynoje
K00537,,Lietuvos kronikos,"Spinta D, 3 lentyna",Lentynoje
K00543,,Lietuvos valstybės konstitucijos,"Spinta D, 3 lentyna",Lentynoje
K00547,Izidorius Ignatavičius,Rinktinė,"Spinta D, 2 lentyna",Lentynoje
K00549,,Mano galerija,"Spinta D, 2 lentyna",Lentynoje
K00565,Lina Žutautė,Kakė Makė (serija),"Spinta D, 4 lentyna",Lentynoje
K00575,,Vilniaus universiteto istorija (1803–1940),"Spinta D, 4 lentyna",Lentynoje
K00576,,Vilniaus universiteto istorija (1940–1994),"Spinta D, 4 lentyna",Lentynoje
K00582,Vladas Drėma,Rinktinė,"Spinta D, 4 lentyna",Lentynoje
K00588,Aleksandras Genis (Александр Генис),"Собрание сочинений, т. 2: Расследования","Spinta D, 5 lentyna",Lentynoje
K00589,Aleksandras Genis (Александр Генис),"Собрание сочинений, т. 1: Культурология","Spinta D, 5 lentyna",Lentynoje
K00593,Marcelijus Martinaitis,Rinktinė,"Spinta D, 5 lentyna",Lentynoje
K00594,Alfonsas Maldonis,Rinktinė,"Spinta D, 5 lentyna",Lentynoje
K00599,Justinas Marcinkevičius,Rinktinė,"Spinta D, 5 lentyna",Lentynoje
K00600,Nerija Putinaitė,Skambantis molis: dainų šventės ir Justino Marcinkevičiaus trilogija kaip sovietinio lietuviškumo ramsčiai,"Spinta D, 5 lentyna",Lentynoje
K00609,Justinas Marcinkevičius,Raštai (4 tomas),"Spinta D, 6 lentyna",Lentynoje
K00611,Bernardas Brazdžionis,Poezijos pilnatis / Raštai,"Spinta D, 6 lentyna",Lentynoje
K00616,Donatas Katkus,Rinktinė,"Spinta D, 7 lentyna",Lentynoje
K00622,Juozas Erlickas,Prisiminimai,"Spinta D, 7 lentyna",Lentynoje
K00624,Teofilis Tilvytis,Rinktinė,"Spinta D, 8 lentyna",Lentynoje
K00625,Vytautas Petkevičius,Grupė draugų,"Spinta D, 8 lentyna",Lentynoje
K00626,Vytautas Petkevičius,Didelis ir mažas,"Spinta D, 8 lentyna",Lentynoje
K00627,Vytautas Petkevičius,Paskutinis atgailos amžius,"Spinta D, 8 lentyna",Lentynoje
K00628,Juozas Baltušis,Sakmė apie Juzą,"Spinta D, 8 lentyna",Lentynoje
K00629,Henrikas Algis Čigriejus,Savi ir pažįstami,"Spinta D, 8 lentyna",Lentynoje
K00630,Vytautas Petkevičius,Yra šalis,"Spinta D, 8 lentyna",Lentynoje
K00631,Vytautas Omaitis (?),Sugrąžinti save,"Spinta D, 8 lentyna",Lentynoje
K00632,Petras Tarasenka,Šešioliktmečiai,"Spinta D, 8 lentyna",Lentynoje
K00633,Kazys Almenas,Rinktinė,"Spinta D, 8 lentyna",Lentynoje
K00644,Česlovas Kudaba,Rinktinė,"Spinta E (P.L. Biblioteka), 1 lentyna",Lentynoje
K00650,,Lietuva: 101 įdomybė,"Spinta E (P.L. Biblioteka), 1 lentyna",Lentynoje
K00661,,Sveikos mitybos vadovas,"Spinta E (P.L. Biblioteka), 2 lentyna",Lentynoje
K00662,Sun Zi,Karo menas,"Spinta E (P.L. Biblioteka), 2 lentyna",Lentynoje
K00664,,Всё об альпинарии и водоёме в саду,"Spinta E (P.L. Biblioteka), 2 lentyna",Lentynoje
K00673,Justas Vincas Paleckis,Rinktinė,"Spinta E (P.L. Biblioteka), 3 lentyna",Lentynoje
K00686,,Tora (תורה / Тора),"Spinta E (P.L. Biblioteka), 3 lentyna",Lentynoje
K00689,Petras Repšys,Monografija / albumas,"Spinta E (P.L. Biblioteka), 4 lentyna",Lentynoje
K00690,Augustinas Savickas (Аугустинас Савицкас),Monografija (keli tomai),"Spinta E (P.L. Biblioteka), 4 lentyna",Lentynoje
K00692,Antanas Gedminas,Monografija / albumas,"Spinta E (P.L. Biblioteka), 4 lentyna",Lentynoje
K00693,Walter Isaacson,Einstein: His Life and Universe,"Spinta E (P.L. Biblioteka), 4 lentyna",Lentynoje
K00699,,MyGrammarLab (Book + Online + Mobile),"Spinta F, 1 lentyna",Lentynoje
K00707,Niall Ferguson,Rinktinė,"Spinta F, 1 lentyna",Lentynoje
K00729,Stanisław Lem (S. Lemas),Solaris,"Spinta F, 4 lentyna",Lentynoje
K00743,Stephen King,Rinktinė,"Spinta F, 5 lentyna",Lentynoje
K00745,Gustav Schwab (Gustavas Švabas),Sakmės (3 tomas),"Spinta F, 5 lentyna",Lentynoje
K00746,Gustav Schwab (Gustavas Švabas),Sakmės (2 tomas),"Spinta F, 5 lentyna",Lentynoje
K00747,Gustav Schwab (Gustavas Švabas),Sakmės (1 tomas),"Spinta F, 5 lentyna",Lentynoje
K00768,Ian Fleming,Rinktinė (James Bond),"Spinta F, 7 lentyna",Lentynoje
K00769,,Septynioliktoji (?),"Spinta F, 7 lentyna",Lentynoje
K00770,,National Geographic (žurnalų kolekcija),"Spinta F, 8 lentyna (apatinė, žurnalai)",Lentynoje
K00772,,Бани и сауны (žurnalai),"Spinta F, 8 lentyna (apatinė, žurnalai)",Lentynoje
K00777,Michael Scott,Kerėtoja,"Spinta G, 1 lentyna",Lentynoje
K00782,,There's No Toilet Paper on the Road Less Traveled,"Spinta G, 2 lentyna",Lentynoje
K00783,John Grisham,The King of Torts,"Spinta G, 2 lentyna",Lentynoje
K00784,Boris Akunin (Борис Акунин),Пелагия и белый бульдог,"Spinta G, 2 lentyna",Lentynoje
K00785,Vinfridas Lansburgas (?),Monos Lizos pagrobimas,"Spinta G, 2 lentyna",Lentynoje
K00786,Alan Bradley,Koriko maišo virvė,"Spinta G, 2 lentyna",Lentynoje
K00787,John Dunning,The Bookman's Wake,"Spinta G, 2 lentyna",Lentynoje
K00788,John Grisham (Džonas Grišemas),Firma,"Spinta G, 2 lentyna",Lentynoje
K00800,Rafael Ábalos,Grimpow,"Spinta G, 3 lentyna",Lentynoje
K00805,,Elfų burbulas,"Spinta G, 4 lentyna",Lentynoje
K00814,Iain M. Banks,The Algebraist,"Spinta G, 5 lentyna",Lentynoje
K00815,Mario Puzo,The Dark Arena,"Spinta G, 5 lentyna",Lentynoje
K00816,Nik Perumov (Ник Перумов),Гибель богов,"Spinta G, 5 lentyna",Lentynoje
K00818,Jennie Harding,Kristalai,"Spinta G, 5 lentyna",Lentynoje
K00819,A. Kartavičius; A. Žiedelis,Mineralų paslaptys / Nuostabusis brangakmenių pasaulis,"Spinta G, 5 lentyna",Lentynoje
K00821,,Žurnalų kolekcija,"Spinta G, 6 lentyna (žurnalai)",Lentynoje
K00833,Serge Brussolo,Rinktinė,"Spinta G, 8 lentyna",Lentynoje
K00836,Cornelia Funke,Vaiduoklių medžiotojai (dar vienas tomas),"Spinta G, 8 lentyna",Lentynoje
K00854,Vincas Krėvė,Rinktinė,"Spinta G, 10 lentyna",Lentynoje
K00863,Serge Brussolo,Rinktinė,"Spinta G, 11 lentyna",Lentynoje
K00874,,Skaičiai,"Spinta G, 11 lentyna",Lentynoje
K00886,Gary Chapman; Ross Campbell,Rinktinė (vaikų ugdymas),"Spinta G, 12 lentyna",Lentynoje
K00894,Mykolas Römeris,Dienoraštis (1921 11 08 – 1922 06 15),"Spinta H, 1 lentyna (filosofija)",Lentynoje
K00896,Stasys Šalkauskis,Raštai (II tomas),"Spinta H, 1 lentyna (filosofija)",Lentynoje
K00897,Stasys Šalkauskis,Raštai (I tomas),"Spinta H, 1 lentyna (filosofija)",Lentynoje
K00900,Lawrence A. Scaff,Veržiantis iš geležinio narvo,"Spinta H, 1 lentyna (filosofija)",Lentynoje
K00901,Tomas Venclova,Vilnius: A Personal History,"Spinta H, 2 lentyna",Lentynoje
K00908,V.Daugirdaitė Sruogienė,Lietuvos istorijso vaizdai ir raštai I,"Spinta H, 2 lentyna",Lentynoje
K00910,,Vilniaus pilis senose fotografijose,"Spinta H, 2 lentyna",Lentynoje
K00911,,Vilnius: Vokiečių gatvė,"Spinta H, 2 lentyna",Lentynoje
K00912,,Vilniui 650 metų,"Spinta H, 2 lentyna",Lentynoje
K00913,V. Martinkėnas,Vilnius ir jo apylinkių čiabuviai,"Spinta H, 2 lentyna",Lentynoje
K00914,R. Schnold,The Gaon of Vilna,"Spinta H, 2 lentyna",Lentynoje
K00915,Józef Ignacy Kraszewski (Juozas Ignacas Kraševskis),Vytauto Lietuva,"Spinta H, 2 lentyna",Lentynoje
K00916,Jonas Lasickis,Apie žemaičių dievus,"Spinta H, 2 lentyna",Lentynoje
K00918,,Lietuvos metraštis: Bychovco kronika,"Spinta H, 2 lentyna",Lentynoje
K00922,,Sacred Writings,"Spinta H, 3 lentyna",Lentynoje
K00923,Mikalojus Povilas Vilutis,Rinktinė / eseistika,"Spinta H, 3 lentyna",Lentynoje
K00925,,"Nėra to blogo, kas neišeitų į gera?","Spinta H, 3 lentyna",Lentynoje
K00927,Michailas Zygaris (Михаил Зыгарь),Вся кремлевская рать,"Spinta H, 4 lentyna",Lentynoje
K00928,Jonas Öhman,Donbasas,"Spinta H, 4 lentyna",Lentynoje
K00929,Noam Chomsky,Rinktinė,"Spinta H, 4 lentyna",Lentynoje
K00933,,Modern Capital Theory,"Spinta H, 4 lentyna",Lentynoje
K00935,Eimantas Gudas; Žilvinė Petrauskaitė,Gedimino kraujas,"Spinta H, 5 lentyna",Lentynoje
K00936,Ričardas Gavelis,Rinktinė,"Spinta H, 5 lentyna",Lentynoje
K00937,Gintaras Beresnevičius,Rinktinė,"Spinta H, 5 lentyna",Lentynoje
K00939,Salman Rushdie,Šėtoniškos eilės,"Spinta H, 5 lentyna",Lentynoje
K00942,Andrius Tapinas,Rinktinė,"Spinta H, 5 lentyna",Lentynoje
K00946,Niall Ferguson,Civilization,"Spinta H, 6 lentyna",Lentynoje
K00949,Czesław Miłosz,Poetinis traktatas,"Spinta H, 6 lentyna",Lentynoje
K00953,Tacitas,Analai,"Spinta H, 6 lentyna",Lentynoje
K00954,Valdas Rakutis,Karai ir taikos,"Spinta H, 6 lentyna",Lentynoje
K00958,Suetonius,Lives of the Twelve Caesars,"Spinta H, 7 lentyna",Lentynoje
K00960,Gabriel García Márquez (Габриэль Гарсиа Маркес),Rinktinė,"Spinta H, 7 lentyna",Lentynoje
K00962,Aidas Marčėnas,Rinktinė,"Spinta H, 7 lentyna",Lentynoje
K00967,Kapka Kassabova,Elixir: In the Valley at the End of Time,"Spinta H, 7 lentyna",Lentynoje
K00974,Jędrzej Śniadecki (Andrius Sniadeckis),Organiškų būtybių teorija,"Spinta H, 8 lentyna",Lentynoje
K00975,Merlin Sheldrake,Raizgus gyvenimas,"Spinta H, 8 lentyna",Lentynoje
K00977,Paul Baker,Fabulosa!,"Spinta H, 8 lentyna",Lentynoje
K00979,,Etologija,"Spinta H, 8 lentyna",Lentynoje
K00980,,Ką veikia Japonija,"Spinta H, 8 lentyna",Lentynoje
K00981,Andrius Kleiva,Rinktinė,"Spinta H, 8 lentyna",Lentynoje
K00987,Anna Kamińska,Wanda,"Spinta H, 9 lentyna",Lentynoje
K00995,Voltaire (Вольтер),Rinktinė,"Spinta H, 10 lentyna",Lentynoje
K00998,G. W. F. Hegel,Teisės filosofijos apmatai,"Spinta H, 10 lentyna",Lentynoje
K01002,David Hume,Rinktinė,"Spinta H, 10 lentyna",Lentynoje
K01010,Émile Durkheim (Э. Дюркгейм),Rinktinė,"Spinta H, 12 lentyna",Lentynoje
K01019,Plutarchas (Плутарх),Сравнительные жизнеописания (I tomas),"Spinta H, 13 lentyna",Lentynoje
K01020,Erazmas Roterdamietis (Эразм Роттердамский),Rinktinė,"Spinta H, 13 lentyna",Lentynoje
K01023,Ciceronas (Цицерон),Rinktinė,"Spinta H, 13 lentyna",Lentynoje
K01027,,Вьетнамская философия,"Spinta H, 13 lentyna",Lentynoje
