Senas ID,Senas autorius,Senas pavadinimas,Sena vieta,Patalpa,Lentyna,Pozicija,Perskaityta autorius,Perskaityta pavadinimas,Panašumas,Pasitikėjimas,Šaltinis,Viršelio nuotrauka,Pastaba
K00715,,Žaisdami mokomės: Matai – darai,"Spinta F, 2 lentyna",Žagarinė miegamasis,3,2,,Matai – darai,0.67,0.9,spine,,oranžinė nugarėlė; autoriaus nugarėlėje nenurodyta
K00716,,Smuiko Smaukšto stalo akademija: žinynas,"Spinta F, 2 lentyna",Žagarinė miegamasis,3,5,,Šaukšto Šmaukšto Stalo akademija,0.67,0.9,spine,,raudona nugarėlė; autoriaus nugarėlėje nenurodyta
K00005,,,"Spinta A, 1 lentyna (viršutinė)",Žagarinė miegamasis,7,6,Akira Toriyama,,1,0.6,spine,,"manga; ant nugarėlės etiketė „TORIYAMA AKIRA“ ir žalias leidyklos ženklas, pavadinimas neįskaitomas"
K00700,Lawrence Maisel; Gary Cokins,Predictive Business Analytics,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,9,"Maisel, Cokins",Predictive Business Analytics,1.15,0.9,spine,,ant nugarėlės nurodytos tik autorių pavardės
K00701,Frank Land,The Language of Mathematics,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,13,Frank Land,The Language of Mathematics,1.15,0.9,spine,,
K00702,Martin S. Silberberg,Chemistry: The Molecular Nature of Matter and Change (5th ed.),"Spinta F, 1 lentyna",Žagarinė miegamasis,7,14,Silberberg,Chemistry: The Molecular Nature of Matter and Change,1.08,0.9,spine,,Fifth Edition; ant nugarėlės nurodyta tik autoriaus pavardė
K00703,William D. Callister; David G. Rethwisch,"Materials Science and Engineering (9th ed., SI Version)","Spinta F, 1 lentyna",Žagarinė miegamasis,7,15,"Callister, Jr., Rethwisch",Materials Science and Engineering,0.95,0.9,spine,,"Ninth Edition, SI Version; ant nugarėlės nurodytos tik pavardės"
K00704,,Bėgimas: universalus gidas,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,16,Elizabeth Hufton,Bėgimas. Universalus gidas,1,0.8,spine,,"nugarėlė dviejų spalvų: žalsvas viršus su autore, raudona dalis su pavadinimu"
K00705,,Sutelktinio finansavimo vadovas,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,17,Stanislovaitis,Sutelktinio finansavimo vadovas,1,0.7,spine,,šviesiai mėlyna nugarėlė; matoma tik autoriaus pavardė
K00706,,Lietuvių kalbos žinynas,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,21,,Lietuvių kalbos žinynas,1,0.9,spine,,oranžinė nugarėlė
K00708,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!","Spinta F, 1 lentyna",Žagarinė miegamasis,7,24,Richard P. Feynman,"„Surely You're Joking, Mr. Feynman!“",1.15,0.9,spine,,
K00709,Agatha Christie,Hercule Poirot: The Complete Short Stories,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,26,Agatha Christie,Hercule Poirot: The Complete Short Stories,1.15,0.8,spine,,ant nugarėlės „Over 50 Stories“
K00710,,Grybo sapnas,"Spinta F, 1 lentyna",Žagarinė miegamasis,7,31,Gabija Grušaitė,Grybo sapnas,1,0.9,spine,,"guli horizontaliai antroje eilėje, nugarėlė apversta"
K00712,,Visata,"Spinta F, 2 lentyna",Žagarinė miegamasis,8,3,,Visata,1,0.9,spine,,balta nugarėlė su Saturno piešiniu
K00717,,Iliustruotas enciklopedinis žinynas,"Spinta F, 2 lentyna",Žagarinė miegamasis,8,5,,Iliustruotas enciklopedinis žinynas,1,0.9,spine,,mėlyna nugarėlė
K00714,,Įdomieji bandymai,"Spinta F, 2 lentyna",Žagarinė miegamasis,8,9,"A. Utz, J. Martin",Įdomieji bandymai,1,0.8,spine,,alyvinė nugarėlė
K00852,,Populiariausios pasaulio pasakos lietuviškai ir angliškai,"Spinta G, 10 lentyna",Žagarinė miegamasis,8,10,,Populiariausios pasaulio pasakos lietuviškai ir angliškai,1,0.9,spine,,žalia nugarėlė
K00713,A. Utz; J. Martin,Julija mokosi anglų kalbos,"Spinta F, 2 lentyna",Žagarinė miegamasis,8,11,,Julija mokosi anglų kalbos,1,0.8,spine,,geltona nugarėlė su raudonu tekstu
K00795,Philip Pullman,Jo tamsiosios jėgos: Aštrusis peilis,"Spinta G, 3 lentyna",Žagarinė miegamasis,9,1,Philip Pullman,Jo tamsiosios jėgos,0.82,0.9,spine,,"žalsvai melsvas viršelis; ant viršelio viršaus auksinėmis raidėmis įspaustas dviejų žodžių tomo pavadinimas (greičiausiai „Šiaurės pašvaistė“), bet neryškus ir patikimai neperskaitomas"
K00719,Michael Scott,"The Enchantress (Nicholas Flamel, 6)","Spinta F, 3 lentyna",Žagarinė priepirtis,1,1,Michael Scott,The Enchantress,0.82,0.9,spine,,serija „The Secrets of the Immortal Nicholas Flamel“; sidabrinė nugarėlė
K00720,Nancy Farmer,Skorpiono rūmai,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,3,Nancy Farmer,Skorpiono rūmai,1.15,0.9,spine,,
K00721,Romualdas Drakšas,Žmonija: maištas,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,4,Romualdas Drakšas,Žmonija. Maištas,1.15,0.8,spine,,"nugarėlėje „ŽMONIJA“ stambiai, „MAIŠTAS“ smulkiau"
K00722,Jasper Fforde,The Last Dragonslayer,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,5,Jasper Fforde,The Last Dragonslayer,1.15,0.9,spine,,
K00723,Anne Rice,The Wolf Gift,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,6,Anne Rice,The Wolf Gift,1.15,0.9,spine,,
K00724,Dorothy Hearst,Promise of the Wolves,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,7,Dorothy Hearst,Promise of the Wolves,1.15,0.9,spine,,
K00725,Michael Scott,"The Warlock (Nicholas Flamel, 5)","Spinta F, 3 lentyna",Žagarinė priepirtis,1,8,Michael Scott,The Warlock,0.82,0.9,spine,,serija „The Secrets of the Immortal Nicholas Flamel“; auksinė nugarėlė
K00726,Anne Rice,The Wolves of Midwinter,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,9,Anne Rice,The Wolves of Midwinter,1.15,0.9,spine,,
K00727,Erik L'Homme (Erikas l'Omas),Blogio imperijos išskilimas (Žvaigždžių knyga III),"Spinta F, 3 lentyna",Žagarinė priepirtis,1,12,Erikas L'Omas,Žvaigždžių knyga III,0.82,0.9,spine,,
K00728,Sud. Neil Gaiman,Unnatural Creatures,"Spinta F, 3 lentyna",Žagarinė priepirtis,1,13,Neil Gaiman,Unnatural Creatures,1.15,0.9,spine,,„Stories chosen by Neil Gaiman“ — sudarytojas
K00730,Jay Kristoff,Stormdancer,"Spinta F, 4 lentyna",Žagarinė priepirtis,2,2,Jay Kristoff,Stormdancer,1.15,0.9,spine,,
K00731,Veronica Roth,Divergentė,"Spinta F, 4 lentyna",Žagarinė priepirtis,2,3,Veronica Roth,Divergentė,1.15,0.9,spine,,
K00732,Veronica Roth,Insurgentė,"Spinta F, 4 lentyna",Žagarinė priepirtis,2,4,Veronica Roth,Insurgentė,1.15,0.9,spine,,
K00733,Jonathan Stroud,Ptolemajo vartai (Bartimėjaus trilogija III),"Spinta F, 4 lentyna",Žagarinė priepirtis,2,5,Jonathan Stroud,Ptolemajo vartai,0.72,0.9,spine,,"Bartimėjaus trilogija, III knyga"
K00734,Jonathan Stroud,Golemo akis (Bartimėjaus trilogija II),"Spinta F, 4 lentyna",Žagarinė priepirtis,2,6,Jonathan Stroud,Golemo akis,0.82,0.9,spine,,"Bartimėjaus trilogija, II knyga"
K00735,Karen Marie Moning,Iced,"Spinta F, 4 lentyna",Žagarinė priepirtis,2,13,Karen Marie Moning,Iced,1.15,0.9,spine,,
K00736,Richard A. Knaak; Jae-Hwan Kim,WarCraft: Drakono medžiotojė,"Spinta F, 4 lentyna",Žagarinė priepirtis,2,14,"Richard A. Knaak, Jae-Hwan Kim",Drakono medžioklė. Warcraft,0.82,0.9,spine,,"manga, 1 knyga; guli plokščiai ant stovinčių knygų"
K00738,Anne Bishop,Daughter of the Blood (Black Jewels Trilogy 1),"Spinta F, 5 lentyna",Žagarinė priepirtis,3,1,Anne Bishop,Daughter of the Blood,0.82,0.9,spine,,„Book 1 of the Black Jewels Trilogy“
K00739,Mary Higgins Clark,Where Are You Now?,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,2,Mary Higgins Clark,Where Are You Now?,1.15,0.9,spine,,
K00740,Patricia Wentworth,Pilgrim's Rest,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,3,Patricia Wentworth,Pilgrim's Rest,1.15,0.8,spine,,pavadinimas nugarėlėje smulkiu šriftu
K00741,James Runcie,Sidney Chambers and The Shadow of Death,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,4,James Runcie,Sidney Chambers and The Shadow of Death,1.15,0.9,spine,,serija „The Grantchester Mysteries 1“
K00742,Thomas Mayne Reid,Raitelis be galvos,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,5,Thomas Mayne Reid,Raitelis be galvos,1.15,0.9,spine,,tamsiai mėlyna nugarėlė
K00744,N. A. Kun (N. Kunas),Senovės Graikijos legendos ir mitai,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,7,N. Kunas,Senovės Graikijos legendos ir mitai,1.15,0.9,spine,,
K00010,,,"Spinta A, 1 lentyna (viršutinė)",Žagarinė priepirtis,3,8,Gustavas Švabas,,1,0.5,spine,,"3 tomai; nugarėlėse tik autorius ir tomų numeriai 1, 2, 3, pavadinimo nėra"
K00748,Homeras,Odisėja,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,9,Homeras,Odisėja,1.15,0.6,cover,Zagarine priepirtis 3_1.JPG,"lentynoje stovi žalia knyga pasukta viršeliu, nugarėlės teksto nematyti; sutapatinta su antraštinio lapo nuotrauka (vertė Antanas Dambrauskas)"
K00750,Jules Verne (Žiulis Vernas),Vilhelmo Storico paslaptis,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,11,Žiulis Vernas,Vilhelmo Štorico paslaptis,1.15,0.9,spine,,paskutinė knyga eilėje
K00749,Antanas Baranauskas,Kelionė Peterburkan,"Spinta F, 5 lentyna",Žagarinė priepirtis,3,12,Antanas Baranauskas,Kelionė Petaburkan,0.65,0.9,cover,Zagarine priepirtis 3_2.JPG,kvadratinio formato leidinys; lentynos nuotraukoje neatpažintas
K00751,Jules Verne (Žiulis Vernas),Pietų žvaigždė,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,1,Žiulis Vernas,Pietų žvaigždė,1.15,0.9,spine,,geltona nugarėlė
K00752,Jules Verne (Žiulis Vernas),Klaidžiojantis Bombarnakas,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,2,Žiulis Vernas,Klaudijus Bombarnakas,0.65,0.9,spine,,geltona nugarėlė
K00753,Jules Verne (Žiulis Vernas),Penkios savaitės oro balionu,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,3,Žiulis Vernas,Penkios savaitės oro balionu,1.15,0.9,spine,,geltona nugarėlė
K00754,Mark Twain (Markas Tvenas),Tomo Sojerio nuotykiai; Heklberio Fino nuotykiai,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,4,Markas Tvenas,Tomo Sojerio nuotykiai. Heklberio Fino nuotykiai,1.15,0.9,spine,,du kūriniai vienoje knygoje
K00755,Gustav Schwab,Gražiausios antikos sakmės,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,6,Gustav Schwab,Gražiausios antikos sakmės,1.15,0.9,spine,,
K00756,Simon Beckett,Mirties chemija,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,7,Simon Beckett,Mirties chemija,1.15,0.9,spine,,
K00757,,Ar turi alibi?,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,8,,Ar turi alibi?,1,0.9,spine,,paantraštė „detektyvinės istorijos“; autorius ant nugarėlės nenurodytas
K00758,Stephen King (Silvenas Kingas),Tylos zona,"Spinta F, 6 lentyna",Žagarinė priepirtis,4,10,Stivenas Kingas,Tylos zona,1.15,0.9,spine,,nugarėlė apiplyšusi
K00761,Jude Watson,Star Wars: Džedajaus mokinys II — Tamsusis Vėtrovas,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,5,Jude Watson,Star Wars. Džedajaus mokinys II. Tamsusis varžovas,0.98,0.8,spine,,nugarėlėje numeris 62
K00762,Helen Fielding,Bridget Jones: The Edge of Reason,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,8,Helen Fielding,Bridget Jones: The Edge of Reason,1.15,0.9,spine,,
K00763,Dan Brown,The Da Vinci Code,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,10,Dan Brown,The Da Vinci Code,1.15,0.9,spine,,
K00764,Aaron Allston,Star Wars: Legacy of the Force — Exile,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,11,Aaron Allston,Star Wars. Legacy of the Force: Exile,1.15,0.9,spine,,
K00765,Jane Austen,Pride and Prejudice,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,13,Jane Austen,Pride and Prejudice,1.15,0.8,spine,,tamsi knyga guli pakrypusi už kitų
K00766,Suzanne Collins,Bado žaidynės,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,14,Suzanne Collins,Bado žaidynės,1.15,0.9,spine,,
K00767,Eric Van Lustbader,Robert Ludlum's The Bourne Objective,"Spinta F, 7 lentyna",Žagarinė priepirtis,5,15,Eric Van Lustbader,Robert Ludlum's The Bourne Objective,1.15,0.9,spine,,
